siteengname	SO2 Average 	Maximum	X	Y	Months 	  Month/Year
Keelung	1.78	7.1	121.760056	25.129167	1	Jan-20
Xizhi	1.55	6.8	121.64081	25.06624	1	
Wanli	1.68	8.6	121.689881	25.179667	1	
Xindian	1.85	7	121.537778	24.977222	1	
Tucheng	2.25	6.3	121.451861	24.982528	1	
Banqiao	1.77	7.4	121.458667	25.012972	1	
Xinzhuang	1.33	13.3	121.4325	25.037972	1	
Cailiao	1.94	7.5	121.481028	25.06895	1	
Linkou	2.16	12.6	121.3654898	25.07798949	1	
Tamsui	1.49	7.9	121.449239	25.1645	1	
Shilin	1.59	10.6	121.5166636	25.10334003	1	
Zhongshan	1.64	10.9	121.526528	25.062361	1	
Wanhua	2.77	7.63	121.507972	25.046503	1	
Guting	1.75	11.4	121.529556	25.020608	1	
Songshan	1.58	5.7	121.578611	25.05	1	
Datong	2.13	9.5	121.5134207	25.06331455	1	
Taoyuan	1.7	5.2	121.3050053	24.9947107	1	
Dayuan	1.85	7.2	121.2025147	25.06100357	1	
Guanyin	1.47	5.3	121.0828309	25.03556747	1	
Pingzhen	0.39	8.4	121.203986	24.952786	1	
Longtan	2.76	12.8	121.2164577	24.86400048	1	
Hukou	3.11	15.9	121.0388689	24.90009696	1	
Zhudong	2.2	8.2	121.0889549	24.74091408	1	
Hsinchu	2.89	7.9	120.9723675	24.8056356	1	
Toufen	2.2	7.1	120.8986929	24.69690679	1	
Miaoli	2.12	7.2	120.8201147	24.56499183	1	
Sanyi	1.99	9.1	120.7595675	24.38248443	1	
Fengyuan	1.8	4.5	120.7425241	24.25699731	1	
Shalu	1.6	5.9	120.568794	24.225628	1	
Dali	1.77	5.6	120.6784444	24.09961111	1	
Zhongming	2.13	10.3	120.641092	24.151958	1	
Xitun	0.98	7.3	120.616917	24.162197	1	
Changhua	1.55	6.6	120.541519	24.066	1	
Xianxi	2.57	8.7	120.469061	24.131672	1	
Erlin	2.72	11.9	120.409653	23.925175	1	
Nantou	1.92	7.4	120.685306	23.913	1	
Douliu	1.73	7	120.544994	23.711853	1	
Lunbei	1.81	6.7	120.348742	23.757547	1	
Xingang	1.66	8.5	120.345531	23.554839	1	
Puzi	1.8	5.1	120.2478	23.46538	1	
Taixi	2.95	8.5	120.1993333	23.702175	1	
Chiayi	1.93	8.9	120.4412515	23.46477865	1	
Xinying	3.22	9.3	120.31725	23.305633	1	
Shanhua			120.2974053	23.11337642	1	
Annan	1.92	6.8	120.2175	23.048197	1	
Tainan	2.29	9	120.22085	22.99123	1	
Meinong	2.23	6	120.530542	22.883583	1	
Qiaotou	2.3	8.4	120.305689	22.757506	1	
Renwu	2.56	15.2	120.332631	22.689056	1	
Fengshan	2.09	5.3	120.357422	22.628126	1	
Daliao	2.09	4.7	120.425311	22.56413611	1	
